指标,数量
近3个月需要年审(待办),149
其中已逾期,20
已年审(已完成),141
完成比例%,48.62
计算公式,141 / (141+149) = 48.62%

【待办按检验到期月】
月份,车辆数
2026-03,2
2026-04,1
2026-05,2
2026-06,15
2026-07,79
2026-08,8
2026-09,42

【已完成按办理时间月】
月份,车辆数
2026-06,110
2026-07,31

【待办明细】
车牌号,品牌,型号,运营状态,检验到期日,剩余天数,区域,状态
粤AGP4435,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-26 22:39:13,369,广东省-广州市,已完成
粤AGP2011,现代,帕力安牌4.5吨冷链车,租赁,2027-06-30,2026-06-26 22:36:59,369,广东省-广州市,已完成
粤AGP9759,现代,帕力安牌4.5吨冷链车,租赁,2027-06-30,2026-06-26 16:51:35,369,广东省-广州市,已完成
粤AGP4583,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-26 16:45:58,369,广东省-广州市,已完成
粤AGP9717,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-26 16:39:31,369,广东省-佛山市,已完成
粤AGP5661,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-26 13:50:40,369,江苏省-苏州市,已完成
粤AGP3659,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-25 13:15:16,370,浙江省-嘉兴市,已完成
浙FHU33挂,通华,重型集装箱半挂车,自营,2027-05-31,2026-06-25 12:51:16,340,浙江省-嘉兴市,已完成
沪FR0572,红岩,35吨牵引车头,租赁,2027-06-30,2026-06-25 12:48:47,370,浙江省-嘉兴市,已完成
粤AGP4489,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-25 09:04:32,370,浙江省-嘉兴市,已完成
粤AGP3027,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-25 08:58:15,370,浙江省-嘉兴市,已完成
粤AGP3651,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-25 08:41:55,370,浙江省-嘉兴市,已完成
粤AGP4486,现代,帕力安牌4.5吨冷链车,租赁,2027-06-30,2026-06-24 18:25:07,371,广东省-广州市,已完成
粤AGP4355,现代,帕力安牌4.5吨冷链车,自营,2027-06-30,2026-06-24 17:16:49,371,浙江省-嘉兴市,已完成
沪A68186F,宇通,49吨牵引车头,库存,2027-06-30,2026-06-24 16:44:28,371,四川省-成都市,已完成
沪A32295F,宇通,49吨牵引车头,库存,2027-06-30,2026-06-24 16:34:51,371,四川省-成都市,已完成
粤AGP5167,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-24 13:11:06,371,浙江省-嘉兴市,已完成
粤AGP3078,现代,帕力安牌4.5吨冷链车,自营,2027-06-30,2026-06-24 12:26:19,371,浙江省-嘉兴市,已完成
粤AGP4548,现代,帕力安牌4.5吨冷链车,自营,2027-06-30,2026-06-24 12:24:13,371,浙江省-嘉兴市,已完成
粤AGP5379,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-24 12:23:03,371,浙江省-嘉兴市,已完成
粤AGP7016,现代,帕力安牌4.5吨冷链车,租赁,2027-06-30,2026-06-24 01:00:43,371,广东省-广州市,已完成
粤AGP3695,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-23 18:36:49,372,江苏省-苏州市,已完成
粤AGP7019,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-23 15:52:38,372,四川省-成都市,已完成
浙F07000F,飞驰,18吨厢式货车,库存,2027-06-30,2026-06-23 15:46:09,372,江苏省-苏州市,已完成
浙F05128F,飞驰,18吨厢式货车,库存,2027-06-30,2026-06-23 14:09:03,372,江苏省-苏州市,已完成
粤AGP3078,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-23 11:12:06,372,浙江省-嘉兴市,已完成
粤AGP4548,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-23 11:11:04,372,浙江省-嘉兴市,已完成
粤AGP3515,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-23 10:01:20,372,江苏省-苏州市,已完成
粤AGP4377,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-23 09:45:56,372,浙江省-嘉兴市,已完成
粤AGP3609,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-06-23 09:39:50,372,浙江省-嘉兴市,已完成
